epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0619,3.18314,4.59504,1.89839,0.00325,0.24074,0.00276,0.00109,2.06546,3.9501,1.16828,0.00018,0.00018,0.00018
2,24.8171,1.5846,2.26798,1.00904,0.01283,0.95062,0.02446,0.01267,1.26096,3.17232,0.87868,0.000372476,0.000372476,0.000372476
3,34.6171,1.35197,1.39031,0.9412,0.0125,0.92593,0.02469,0.01376,1.10704,3.2512,0.8554,0.000557032,0.000557032,0.000557032
4,44.2881,1.18803,1.10839,0.91015,0.01258,0.9321,0.02276,0.01214,1.06465,3.19499,0.84471,0.000733668,0.000733668,0.000733668
5,50.9501,1.09663,0.99231,0.88702,0.01292,0.95679,0.09982,0.04826,1.05757,3.00896,0.84256,0.000902384,0.000902384,0.000902384
6,61.0701,1.17735,0.96165,0.88742,0.01308,0.96914,0.6602,0.41167,1.06049,2.77957,0.84684,0.00106318,0.00106318,0.00106318
7,71.4201,1.14489,0.94393,0.88039,0.37742,0.7716,0.74327,0.46272,1.11011,2.68644,0.85028,0.00121606,0.00121606,0.00121606
8,78.9416,1.08929,0.86436,0.87638,0.21662,0.25309,0.36556,0.20704,1.3048,2.5869,0.88098,0.00136101,0.00136101,0.00136101
9,89.6778,1.05804,0.82651,0.87667,0.38421,0.59313,0.3711,0.21511,1.13027,2.07556,0.86339,0.00149805,0.00149805,0.00149805
10,100.283,1.08767,0.83462,0.8793,0.82439,0.92593,0.84471,0.54128,1.00932,1.39251,0.84321,0.00162716,0.00162716,0.00162716
11,110.391,1.0278,0.77098,0.85795,0.8089,0.88272,0.85517,0.5684,0.95056,1.14408,0.84014,0.001604,0.001604,0.001604
12,119.498,1.01704,0.76113,0.85984,0.97515,0.9321,0.97907,0.69605,0.91509,1.10292,0.83565,0.0015644,0.0015644,0.0015644
13,129.594,1.00187,0.74952,0.86263,0.97499,0.96273,0.98256,0.69102,0.88974,0.85021,0.83525,0.0015248,0.0015248,0.0015248
14,140.049,0.94487,0.68612,0.85178,0.96251,0.95094,0.98195,0.74082,0.86702,0.68258,0.82665,0.0014852,0.0014852,0.0014852
15,150.01,0.95162,0.69248,0.85762,0.99536,0.96296,0.98424,0.70679,0.89622,0.67586,0.83095,0.0014456,0.0014456,0.0014456
16,161.057,0.90285,0.65693,0.84138,0.8802,0.95243,0.9389,0.69253,0.87562,0.64915,0.82611,0.001406,0.001406,0.001406
17,172.299,0.93256,0.65311,0.84334,0.99254,0.98148,0.98511,0.73475,0.86349,0.60094,0.82187,0.0013664,0.0013664,0.0013664
18,183.069,0.92656,0.6324,0.85013,0.99623,0.98765,0.98511,0.74162,0.86842,0.54667,0.82644,0.0013268,0.0013268,0.0013268
19,192.544,0.90752,0.61702,0.84789,1,0.98482,0.98511,0.75703,0.86879,0.60732,0.83233,0.0012872,0.0012872,0.0012872
20,1039.01,0.87878,0.61264,0.84736,0.98846,0.98148,0.98504,0.75143,0.82884,0.52817,0.82262,0.0012476,0.0012476,0.0012476
21,1050.8,0.87361,0.59935,0.85478,0.98797,0.98148,0.98749,0.74699,0.8232,0.52531,0.81702,0.001208,0.001208,0.001208
22,1061.53,0.85784,0.57635,0.83925,0.99769,0.98765,0.98748,0.76109,0.82934,0.49725,0.81866,0.0011684,0.0011684,0.0011684
23,1072.32,0.83336,0.5721,0.83612,0.99872,0.98765,0.98517,0.76523,0.82038,0.50336,0.81772,0.0011288,0.0011288,0.0011288
24,1083.09,0.85125,0.56549,0.84046,0.9979,0.98765,0.98511,0.74484,0.83115,0.50444,0.81935,0.0010892,0.0010892,0.0010892
25,1091.84,0.85307,0.56365,0.83455,0.99898,0.98765,0.99108,0.77309,0.80232,0.4817,0.81764,0.0010496,0.0010496,0.0010496
26,1103.08,0.83408,0.54272,0.83067,0.99889,0.98765,0.98885,0.75533,0.82511,0.50965,0.82056,0.00101,0.00101,0.00101
27,1113.19,0.87318,0.56226,0.83916,0.99372,0.97739,0.98937,0.75469,0.79837,0.50664,0.81715,0.0009704,0.0009704,0.0009704
28,1122.61,0.79866,0.52934,0.83629,0.99297,0.98765,0.99055,0.75484,0.81592,0.47602,0.81457,0.0009308,0.0009308,0.0009308
29,1133.41,0.78514,0.50018,0.82123,0.99799,0.98765,0.99101,0.7819,0.78277,0.46302,0.81143,0.0008912,0.0008912,0.0008912
30,1143.84,0.81217,0.51604,0.82773,0.99734,0.98148,0.99256,0.75533,0.78281,0.4603,0.81149,0.0008516,0.0008516,0.0008516
31,1153.5,0.79248,0.50293,0.82176,0.99292,0.98765,0.99317,0.76865,0.7792,0.44283,0.81154,0.000812,0.000812,0.000812
32,1162.45,0.78041,0.49317,0.82781,0.99349,0.98765,0.99278,0.7798,0.78092,0.44454,0.81306,0.0007724,0.0007724,0.0007724
33,1172.81,0.79498,0.49899,0.81766,0.99834,0.98765,0.99293,0.7684,0.76714,0.44897,0.81051,0.0007328,0.0007328,0.0007328
34,1182.2,0.76068,0.47306,0.82485,0.99933,0.98765,0.99119,0.76818,0.77445,0.43081,0.81468,0.0006932,0.0006932,0.0006932
35,1191.32,0.73755,0.46378,0.8171,0.99956,0.98765,0.98523,0.78345,0.77458,0.42114,0.81319,0.0006536,0.0006536,0.0006536
36,1202.25,0.7524,0.46689,0.81746,0.9992,0.98765,0.98516,0.77495,0.80116,0.42984,0.81551,0.000614,0.000614,0.000614
37,1212.35,0.75116,0.47113,0.8246,0.9997,0.98765,0.98513,0.77122,0.79365,0.40946,0.81121,0.0005744,0.0005744,0.0005744
38,1221.5,0.74461,0.46349,0.823,0.99927,0.98765,0.98513,0.78592,0.78307,0.40862,0.81306,0.0005348,0.0005348,0.0005348
39,1231.74,0.73532,0.44927,0.82115,0.99901,0.98765,0.98517,0.77829,0.78049,0.40219,0.81165,0.0004952,0.0004952,0.0004952
40,1241.67,0.73846,0.45409,0.82326,0.99905,0.98765,0.98969,0.78911,0.7594,0.39032,0.8067,0.0004556,0.0004556,0.0004556
41,1267.5,0.69588,0.47368,0.80693,0.99943,0.98765,0.9904,0.78828,0.7569,0.38939,0.8068,0.000416,0.000416,0.000416
42,1280.56,0.71075,0.46844,0.81141,0.99912,0.98765,0.98777,0.78246,0.75166,0.41396,0.80558,0.0003764,0.0003764,0.0003764
43,1290.46,0.6641,0.44639,0.81848,0.99944,0.98765,0.98975,0.79368,0.75956,0.38964,0.80654,0.0003368,0.0003368,0.0003368
44,1300.23,0.66337,0.43551,0.8116,0.99892,0.98765,0.98948,0.78339,0.7863,0.40141,0.80858,0.0002972,0.0002972,0.0002972
45,1310.61,0.69247,0.43677,0.8113,0.99857,0.98765,0.9895,0.79035,0.76214,0.38527,0.808,0.0002576,0.0002576,0.0002576
46,1320.04,0.67204,0.43394,0.81149,0.99907,0.98765,0.98994,0.7956,0.7542,0.38099,0.8079,0.000218,0.000218,0.000218
47,1331.41,0.67255,0.43525,0.80277,0.99914,0.98765,0.98979,0.78537,0.77268,0.38452,0.81078,0.0001784,0.0001784,0.0001784
48,1342.53,0.66103,0.4147,0.81253,0.99916,0.98765,0.99031,0.79617,0.75384,0.37786,0.8087,0.0001388,0.0001388,0.0001388
49,1349.66,0.66736,0.42245,0.81324,0.99929,0.98765,0.99067,0.79672,0.74534,0.37488,0.80508,9.92e-05,9.92e-05,9.92e-05
50,1360.42,0.64589,0.41126,0.81485,0.9993,0.98765,0.99085,0.79842,0.74825,0.37193,0.8062,5.96e-05,5.96e-05,5.96e-05
